dataset_id,outer_fold,eval_seed,method_id,outer_unit_id,attack,attack_seed,malicious_client_count,registered_client_count,sign_scale_factor,label_flip_fraction,training_budget_matches_clean_target,log_loss,brier_score,auroc,average_precision,sensitivity,specificity,balanced_accuracy,delta_log_loss,delta_brier_score,delta_auroc,delta_average_precision,delta_sensitivity,delta_specificity,delta_balanced_accuracy,malicious_client_id,malicious_released_update_norm_max,control_fallback_round_count,nonfinite_model_or_predictions
pima,0,939188524,fedavg_nonprivate,84b1a2a67ab831963f7a52f53a1a9bded4c158d6e6ec1960f08ffa352b7d1064,malicious_client_label_flip,2150372446,1,5,,1.0,True,0.4988401947619645,0.16071925906876017,0.870754716981132,0.7218149487267078,0.9433962264150944,0.54,0.7416981132075472,0.044377569248865656,0.015868926877436768,0.0011320754716981352,-0.00900435869276961,0.018867924528301883,-0.04999999999999993,-0.01556603773584897,client_1,0.18091937133809605,0,False
pima,0,939188524,fedavg_nonprivate,84b1a2a67ab831963f7a52f53a1a9bded4c158d6e6ec1960f08ffa352b7d1064,malicious_client_sign_scale,1659725277,1,5,-3.0,,True,1.4435878665182844,0.3531291614066725,0.30849056603773584,0.2700213121401572,0.07547169811320754,0.7,0.38773584905660374,0.9891252410051856,0.2082788292153491,-0.5611320754716981,-0.46079799527932025,-0.8490566037735849,0.10999999999999999,-0.3695283018867924,client_2,0.9756106827132467,0,False
pima,0,939188524,dp_fedavg,130c4c33d43a47e868d1700f5b3699684d438362c4cd47b1e4d78e52df23ceba,malicious_client_label_flip,4039400828,1,5,,1.0,True,0.5872630942200237,0.19554698906412912,0.8383018867924529,0.6801370089840914,0.9811320754716981,0.47,0.725566037735849,0.08965280702796008,0.03605146204703591,-0.010754716981132062,-0.016207267539755765,0.1132075471698113,-0.10999999999999999,0.00160377358490571,client_3,0.0969216698469391,0,False
pima,0,939188524,dp_fedavg,130c4c33d43a47e868d1700f5b3699684d438362c4cd47b1e4d78e52df23ceba,malicious_client_sign_scale,2961845919,1,5,-3.0,,True,0.7931801968633737,0.2931858362316927,0.7545283018867924,0.5815140158712959,1.0,0.01,0.505,0.29556990967131014,0.13369030921459948,-0.09452830188679251,-0.1148302606525512,0.13207547169811318,-0.57,-0.21896226415094333,client_4,0.3054100986843602,0,False
pima,0,939188524,fedsift,27ec7d3549620321733392e8259e12a0cb3bcab22956a3d8b47486474c3160dd,malicious_client_label_flip,4101335974,1,5,,1.0,True,0.5593979243946625,0.1856595469678946,0.8364150943396227,0.6691897819698144,0.9245283018867925,0.49,0.7072641509433962,0.048004913309779296,0.02094670806732052,-0.007169811320754671,-0.014048688607018245,0.05660377358490565,-0.13,-0.03669811320754712,client_4,0.022928371285686856,0,False
pima,0,939188524,fedsift,27ec7d3549620321733392e8259e12a0cb3bcab22956a3d8b47486474c3160dd,malicious_client_sign_scale,383659216,1,5,-3.0,,True,0.5242163401859936,0.16857495095352754,0.8426415094339622,0.666389562899514,0.8679245283018868,0.67,0.7689622641509435,0.012823329101110392,0.003862112052953448,-0.0009433962264151496,-0.016848907677318614,0.0,0.050000000000000044,0.025000000000000133,client_1,0.04705465596967531,0,False
retinopathy,0,939188524,fedavg_nonprivate,eec560d6c3e94d3abe8805c1b425691a7d0249dd1cd699a81f68f2ddcda99ea6,malicious_client_label_flip,3648720462,1,5,,1.0,True,0.6003327823420795,0.20968935654104576,0.7416440831074977,0.816104049327727,1.0,0.009259259259259259,0.5046296296296297,0.02767965260505778,0.010664806981171338,-0.00752785305630832,-6.093905514736875e-05,0.19512195121951215,-0.4537037037037037,-0.1292908762420958,client_2,0.5599603080370075,0,False
retinopathy,0,939188524,fedavg_nonprivate,eec560d6c3e94d3abe8805c1b425691a7d0249dd1cd699a81f68f2ddcda99ea6,malicious_client_sign_scale,147651380,1,5,-3.0,,True,2.0135208337005484,0.40333354780961034,0.5384673291177356,0.6211927681013955,0.5772357723577236,0.4351851851851852,0.5062104787714544,1.4408677039635265,0.20430899824973592,-0.2107046070460704,-0.19497222028147887,-0.22764227642276424,-0.02777777777777779,-0.12771002710027102,client_0,3.561142547291099,0,False
retinopathy,0,939188524,dp_fedavg,e2dfdb8ec5eb51fab0e9c4c1f9eeb1ea76ce21438734bd7c6a532f8aa5ed0fcc,malicious_client_label_flip,3755801948,1,5,,1.0,True,0.6704889650739297,0.23010913589688675,0.7215447154471545,0.788029989542804,0.7804878048780488,0.4537037037037037,0.6170957542908763,0.04187040053539404,0.01564490849401351,-0.010463715748268543,-0.00880639270704131,-0.03252032520325199,0.046296296296296335,0.006887985546522146,client_3,0.4277924706194307,0,False
retinopathy,0,939188524,dp_fedavg,e2dfdb8ec5eb51fab0e9c4c1f9eeb1ea76ce21438734bd7c6a532f8aa5ed0fcc,malicious_client_sign_scale,2726729588,1,5,-3.0,,True,1.8571269133554607,0.418027148571462,0.5257452574525745,0.6103831018395972,0.2682926829268293,0.8611111111111112,0.5647018970189702,1.2285083488169248,0.20356292116858876,-0.20626317374284853,-0.1864532804102481,-0.5447154471544715,0.4537037037037038,-0.045505871725383895,client_3,1.4994026453040248,0,False
