dataset,comparator,metric,fold_count,fedsift_minus_comparator_mean,fedsift_minus_comparator_sd,fedsift_minus_comparator_ci95_low_t,fedsift_minus_comparator_ci95_high_t,benefit_oriented_mean,benefit_oriented_sd,benefit_oriented_ci95_low_t,benefit_oriented_ci95_high_t
pima,fedavg_nonprivate,auroc,5,-0.008514325646401111,0.010303772741527295,-0.021308149305228875,0.004279498012426655,-0.008514325646401111,0.010303772741527295,-0.021308149305228875,0.004279498012426655
pima,fedavg_nonprivate,average_precision,5,-0.015840962431563032,0.01852376111366582,-0.03884124971772879,0.0071593248546027236,-0.015840962431563032,0.01852376111366582,-0.03884124971772879,0.0071593248546027236
pima,fedavg_nonprivate,balanced_accuracy,5,0.014566037735849057,0.026118441904036446,-0.017864291265569626,0.046996366737267745,0.014566037735849057,0.026118441904036446,-0.017864291265569626,0.046996366737267745
pima,fedavg_nonprivate,brier_score,5,0.01100527437633042,0.00804331180416072,0.001018183682776671,0.02099236506988417,-0.01100527437633042,0.00804331180416072,-0.02099236506988417,-0.001018183682776671
pima,fedavg_nonprivate,f1,5,0.010990982939675487,0.02203531004601578,-0.01636946823372009,0.03835143411307106,0.010990982939675487,0.02203531004601578,-0.01636946823372009,0.03835143411307106
pima,fedavg_nonprivate,log_loss,5,0.03744682894934233,0.02571964174007327,0.005511675753994472,0.06938198214469019,-0.03744682894934233,0.02571964174007327,-0.06938198214469019,-0.005511675753994472
pima,fedavg_nonprivate,mcc,5,0.019332108943793537,0.04340390582433494,-0.034560958299709926,0.073225176187297,0.019332108943793537,0.04340390582433494,-0.034560958299709926,0.073225176187297
pima,fedavg_nonprivate,npv,5,-0.010135732249615882,0.02314776196905074,-0.03887747492557651,0.018606010426344747,-0.010135732249615882,0.02314776196905074,-0.03887747492557651,0.018606010426344747
pima,fedavg_nonprivate,ppv,5,0.018791491627454516,0.020972267332170023,-0.007249017679605955,0.04483200093451499,0.018791491627454516,0.020972267332170023,-0.007249017679605955,0.04483200093451499
pima,fedavg_nonprivate,sensitivity,5,-0.018867924528301883,0.029723137722517584,-0.055774074552004255,0.01803822549540049,-0.018867924528301883,0.029723137722517584,-0.055774074552004255,0.01803822549540049
